Iso3_code,Region,Subregion,Country,Dimension,Category,Sex,Age,Year,Counts
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2002,45736.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,2021,45562.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,2000,45375.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2007,45362.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1995,45257.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2005,45095.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2006,45080.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1993,45060.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2006,44961.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2004,44535.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2015,44373.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,2022,44367.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2003,44331.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2002,44252.0
NGA,Africa,Sub-Saharan Africa,Nigeria,Total,Total,Total,Total,2019,44200.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,1990,44162.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,2019,44073.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2001,44052.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2007,43906.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2020,43780.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2005,43678.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2002,43620.2546985295
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2001,42921.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2001,42914.0220534787
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1999,42914.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2016,42320.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1998,41950.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2017,41832.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2003,41764.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2018,41651.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2021,41644.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2000,41600.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2021,41330.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2000,41237.4552111878
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2020,41171.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2000,41090.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2019,40976.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2003,40767.7873711507
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1997,40507.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2022,40504.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,2019,40268.0
IND,Asia,Southern Asia,India,Total,Total,Total,Total,2022,40130.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2006,40080.0458123748
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1999,39334.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2004,39256.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1996,39083.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1996,38894.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1998,38404.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1999,38225.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2004,38197.2140322955
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1997,36881.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2020,36773.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2018,36685.0
